MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow,Latitude,Longitude,EsConfortable
-3.5,7.1,0.0,1.6,1.1,20.0,2.0,9.0,97.0,85.0,1028.0,1024.7,7.0,8.0,0.0,6.4,0,6.2,1,-35.2809,149.13,0
13.2,22.9,0.0,3.6,7.2,35.0,2.0,11.0,85.0,56.0,1029.5,1026.7,6.0,4.0,16.7,21.8,0,13.2,1,-27.4698,153.0251,1
22.5,25.1,0.0,7.6,0.5,43.8,4.0,13.0,73.0,49.0,1008.0,1008.5,7.0,7.0,24.2,22.9,0,0.0,0,-33.8688,151.2093,0
18.9,34.3,0.0,7.38,8.919999999999998,43.0,6.0,20.0,73.0,46.0,1011.7,1007.92,0.8,2.2,23.9,30.0,0,0.0,0,-33.7511,150.6942,0
4.1,22.1,0.0,6.4,11.9,31.0,11.0,20.0,69.0,46.0,1021.7,1017.4,3.0,5.0,13.8,21.0,0,0.2,0,-38.1026,147.0654,0
18.0,25.56,1.8,6.2,6.359999999999999,46.2,9.0,17.0,87.0,48.8,1022.28,1017.62,7.0,5.4,18.9,24.18,1,0.2,0,-32.9283,151.7817,0
11.8,18.6,0.0,7.0,5.64,67.0,31.0,24.0,67.0,57.0,1010.0,1007.1,6.6,7.0,15.2,18.4,0,14.8,1,-37.8289,140.7821,0
10.0,24.3,0.0,6.2,5.3,52.0,22.0,30.0,57.0,54.0,1014.6,1012.9,5.0,7.0,18.0,21.5,0,3.6,1,-37.8289,140.7821,0
9.5,33.0,0.0,5.6,10.32,22.0,7.0,7.0,56.0,24.0,1018.8,1014.5,0.0,0.0,18.1,32.0,0,0.0,0,-14.4647,132.2661,0
17.5,22.5,1.8,3.0,4.6,35.0,20.0,15.0,97.0,88.0,1017.2,1014.6,8.0,8.0,18.9,20.6,1,0.4,0,-29.0408,167.9547,0
10.2,14.3,0.6,3.0,0.0,54.0,9.0,22.0,72.0,78.0,1007.8,1005.0,8.0,7.0,12.7,13.8,0,13.4,1,-35.1082,147.3598,0
10.2,11.9,2.6,3.4,0.0,41.2,15.0,17.0,90.0,87.0,1016.1,1015.5,8.0,8.0,10.5,10.5,1,20.8,1,-33.8688,151.2093,0
11.1,21.8,0.0,5.36,9.320000000000002,35.0,17.0,22.0,63.0,47.0,1021.0,1019.7,4.6,3.8,17.3,20.4,0,0.0,0,-34.0278,115.1058,1
6.3,12.5,0.0,4.0,5.4,85.0,39.0,17.0,51.0,60.0,997.0,995.4,1.0,4.0,9.0,6.9,0,9.0,1,-42.8821,147.3272,0
22.5,30.7,0.6,6.8,5.7,33.0,13.0,20.0,79.0,48.0,1017.9,1013.6,7.0,2.0,25.6,29.6,0,0.2,0,-16.9186,145.7781,0
4.7,14.6,0.0,1.8,1.3,22.0,13.0,11.0,87.0,69.0,1024.9,1022.1,7.0,7.0,7.5,14.1,0,0.0,0,-35.1082,147.3598,0
17.2,31.8,0.0,6.2,10.9,39.0,0.0,22.0,72.0,29.0,1014.0,1010.3,0.0,0.0,24.9,30.3,0,0.0,0,-12.4634,130.8456,0
14.0,30.7,0.0,7.0,12.4,43.0,31.0,11.0,54.0,21.0,1024.9,1020.1,0.0,1.0,20.3,28.9,0,0.0,0,-29.4648,149.8343,0
13.7,24.1,0.0,5.4,10.2,33.0,13.0,17.0,56.0,41.0,1022.4,1018.6,2.0,1.0,16.5,22.8,0,0.0,0,-31.9505,115.8605,1
17.9,22.6,0.0,7.4,6.5,31.2,6.0,15.0,82.0,77.0,1009.3,1008.4,8.0,7.0,20.9,21.6,0,1.4,1,-35.0228,117.8814,0
19.5,38.9,0.0,13.8,10.8,33.0,17.0,15.0,34.0,7.0,1015.0,1012.2,0.0,0.0,25.7,37.7,0,0.0,0,-31.199,136.8206,0
2.6,5.2,12.4,1.64,0.08,26.0,4.0,2.0,98.0,98.0,1020.6,1017.96,7.8,7.8,2.8,4.7,1,1.8,1,-35.5294,148.7778,0
7.9,19.1,0.0,5.6,10.3,33.0,9.0,15.0,44.0,29.0,1017.2,1013.1,0.0,0.0,12.2,18.6,0,0.0,0,-27.4698,153.0251,0
22.1,30.4,0.0,7.0,11.5,57.0,19.0,39.0,71.0,76.0,1012.3,1009.8,1.0,1.0,26.2,26.7,0,0.0,0,-30.2962,153.114,0
8.0,15.3,4.2,3.72,6.220000000000001,44.0,13.0,30.0,91.0,63.0,1023.2,1024.0,5.0,8.0,12.1,14.6,1,0.8,0,-37.8289,140.7821,0
8.7,26.4,0.0,9.0,12.12,37.0,22.0,19.0,44.0,18.0,1021.5,1018.0,0.6,3.0,15.6,25.2,0,0.0,0,-32.7944,151.8347,0
12.5,20.0,0.0,3.16,4.42,46.0,7.0,30.0,66.0,69.0,1031.2,1027.6,2.2,5.6,17.8,19.1,0,0.0,0,-34.4278,150.8931,0
17.0,27.0,0.0,9.84,8.180000000000001,26.0,4.0,17.0,62.0,71.0,1020.1,1015.3,6.0,2.8,22.9,24.1,0,0.0,0,-34.4278,150.8931,0
24.7,39.5,0.0,14.2,11.48,39.0,19.0,9.0,20.0,17.0,1009.9,1007.2,3.0,6.0,30.9,37.4,0,0.0,0,-31.495,145.839,0
12.4,34.0,0.0,8.2,13.3,37.0,22.0,22.0,59.0,23.0,1018.7,1011.7,0.0,0.0,20.4,31.8,0,0.0,0,-37.8289,140.7821,0
13.2,27.9,0.0,7.2,12.6,37.0,7.0,24.0,54.0,44.0,1018.6,1015.4,1.0,1.6,21.6,26.1,0,0.0,0,-31.669,116.0197,1
14.3,17.4,20.6,4.6,1.14,57.0,30.0,33.0,100.0,99.0,1015.9,1016.1,7.0,7.0,14.8,16.0,1,0.0,0,-37.5622,143.8503,0
9.0,19.5,0.0,5.2,10.1,20.0,6.0,6.0,56.0,42.0,1022.6,1019.2,0.0,1.0,14.1,19.0,0,0.0,0,-27.4698,153.0251,0
16.1,25.7,12.2,3.4799999999999995,9.08,46.0,13.0,22.0,74.0,42.0,1013.06,1013.54,5.6,3.8,18.5,24.5,1,0.0,0,-33.7511,150.6942,0
4.6,25.4,0.0,3.8,11.1,28.0,7.0,11.0,39.0,15.0,1023.4,1017.5,0.0,1.0,15.7,24.9,0,0.0,0,-23.698,133.8807,0
7.9,13.7,0.0,1.6,0.1,30.0,19.0,15.0,78.0,71.0,1030.3,1029.6,7.0,7.0,10.6,12.8,0,0.0,0,-37.669,144.841,0
16.2,19.5,0.6,5.0,0.0,19.0,2.0,6.0,75.0,82.0,1020.6,1018.2,8.0,8.0,17.7,17.5,0,2.8,1,-27.4698,153.0251,0
4.5,12.2,0.8,1.8400000000000003,3.82,41.0,17.0,28.0,100.0,98.0,1025.5,1023.7,8.0,8.0,8.5,11.1,0,0.0,0,-37.5622,143.8503,0
26.0,39.5,0.0,9.6,11.28,22.0,0.0,0.0,57.0,27.0,1014.6,1009.0,0.0,3.4,31.5,37.760000000000005,0,0.0,0,-14.4647,132.2661,0
23.6,32.5,4.4,2.8,3.8,30.0,6.0,13.0,68.0,64.0,1011.5,1007.9,7.0,7.0,29.3,30.3,1,0.0,0,-27.4698,153.0251,0
10.5,14.2,12.2,2.88,3.44,28.0,11.0,9.0,92.0,84.0,1007.8,1006.0,6.6,7.0,12.1,11.9,1,17.8,1,-34.9799,116.7314,0
11.3,30.3,0.0,7.44,10.94,35.0,4.0,13.0,71.0,25.0,1022.7,1018.8,2.8,0.6,19.2,29.0,0,0.0,0,-33.8789,150.743,0
8.1,22.8,0.0,6.0,11.9,65.0,22.0,39.0,36.0,32.0,1014.8,1013.7,2.0,1.0,16.6,22.3,0,0.0,0,-30.2962,153.114,0
20.2,31.9,0.0,6.6,13.1,35.0,13.0,13.0,77.0,52.0,1001.0,999.9,0.0,3.0,24.7,31.1,0,0.0,0,-29.4648,149.8343,0
16.4,23.3,0.0,4.2,0.3,15.0,6.0,4.0,66.0,67.0,1015.5,1012.9,8.0,8.0,21.9,22.2,0,0.2,0,-27.4698,153.0251,0
9.4,24.3,0.0,7.720000000000001,11.080000000000002,48.0,28.0,17.0,73.0,28.0,1021.4,1020.8,0.0,1.8,12.7,23.2,0,0.0,0,-37.5622,143.8503,0
10.9,19.3,0.0,3.3199999999999994,7.619999999999999,31.0,4.0,11.0,66.0,52.0,1021.7,1018.9,5.0,5.4,13.0,18.5,0,0.0,0,-37.9144,141.2692,1
2.8,9.3,0.0,1.56,6.9,33.0,6.0,4.0,22.0,52.0,1023.9,1019.02,4.2,6.4,6.3,6.9,0,0.0,0,-35.5294,148.7778,0
3.3,19.1,0.0,1.4,7.8,20.0,7.0,6.0,100.0,52.0,1025.9,1022.9,1.0,6.0,6.2,18.6,0,0.0,0,-37.7037,145.0831,0
7.2,20.4,0.0,5.8,9.1,46.0,19.0,7.0,64.0,37.0,1021.2,1018.5,4.0,6.0,11.3,18.8,0,0.0,0,-34.4747,138.9961,0
3.9,20.2,0.0,4.319999999999999,9.1,43.0,11.0,24.0,64.0,50.0,1028.0,1027.1,3.2,4.2,14.2,19.7,0,0.0,0,-36.757,144.2794,0
10.5,28.0,0.0,5.4,10.1,26.0,13.0,7.0,65.0,32.0,1018.8,1016.7,1.0,2.0,15.4,27.4,0,0.0,0,-35.1082,147.3598,1
